key,company,scenario,ebitda_report_ccy,target_multiple,implied_ev_bn,net_debt_bn,implied_price,current_price,implied_return_pct,earnings_effect_pct,multiple_effect_pct,note
SMIN,Smiths Group plc,Rerate to peer median,692.0,21.35,14.77,0.87,4013.13,2642.0,51.9,0.0,51.9,"Mechanical valuation scenario, not a price target"
SMIN,Smiths Group plc,Rerate to sector median,692.0,17.38,12.03,0.87,3219.68,2642.0,21.9,0.0,21.9,"Mechanical valuation scenario, not a price target"
SMIN,Smiths Group plc,Rerate to own 5y median,692.0,17.42,12.05,0.87,3227.4,2642.0,22.2,0.0,22.2,"Mechanical valuation scenario, not a price target"
SPX,Spirax Group plc,"Bear (-10% EBITDA, peer Q1)",338.1,19.48,6.59,0.65,8049.37,6945.0,15.9,-11.3,27.2,"Mechanical valuation scenario, not a price target"
SPX,Spirax Group plc,"Base (LTM EBITDA, current multiple)",375.7,15.37,5.77,0.65,6945.0,6945.0,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
SPX,Spirax Group plc,"Bull (+10% EBITDA, peer Q3)",413.3,31.08,12.84,0.65,16537.01,6945.0,138.1,11.3,126.8,"Mechanical valuation scenario, not a price target"
SPX,Spirax Group plc,Rerate to peer median,375.7,22.96,8.63,0.65,10817.25,6945.0,55.8,0.0,55.8,"Mechanical valuation scenario, not a price target"
SPX,Spirax Group plc,Rerate to sector median,375.7,17.38,6.53,0.65,7971.64,6945.0,14.8,0.0,14.8,"Mechanical valuation scenario, not a price target"
SPX,Spirax Group plc,Rerate to own 5y median,375.7,20.67,7.77,0.65,9648.06,6945.0,38.9,0.0,38.9,"Mechanical valuation scenario, not a price target"
WEIR,Weir Group plc,"Bear (-10% EBITDA, peer Q1)",486.7,8.71,4.24,1.27,1145.05,2636.0,-56.6,-11.9,-44.7,"Mechanical valuation scenario, not a price target"
WEIR,Weir Group plc,"Base (LTM EBITDA, current multiple)",540.8,14.95,8.08,1.27,2636.0,2636.0,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
WEIR,Weir Group plc,"Bull (+10% EBITDA, peer Q3)",594.9,26.87,15.98,1.27,5697.83,2636.0,116.2,11.9,104.3,"Mechanical valuation scenario, not a price target"
WEIR,Weir Group plc,Rerate to peer median,540.8,24.5,13.25,1.27,4638.32,2636.0,76.0,0.0,76.0,"Mechanical valuation scenario, not a price target"
WEIR,Weir Group plc,Rerate to sector median,540.8,17.38,9.4,1.27,3145.92,2636.0,19.3,0.0,19.3,"Mechanical valuation scenario, not a price target"
WEIR,Weir Group plc,Rerate to own 5y median,540.8,13.66,7.38,1.27,2364.82,2636.0,-10.3,0.0,-10.3,"Mechanical valuation scenario, not a price target"
ASSAB,Assa Abloy AB (B),"Bear (-10% EBITDA, peer Q1)",26594.1,15.4,409.6,63.95,311.03,353.1,-11.9,-11.6,-0.3,"Mechanical valuation scenario, not a price target"
